,source,target,flux
0,CH3CO2H,CO2,[7.90308999 7.90308999]
1,HCOCO2H,CO2,[9.08990511 9.08990511]
2,HOCH2CO2H,CO2,[8.43616265 8.43616265]
3,CH3CO3H,CO2,[14.73937984 -inf]
4,HCOCO3H,CO2,[15.2622112 -inf]
5,HOCH2CO3H,CO2,[14.73937984 -inf]
6,HCOCO,CO2,[27.84197891 27.84197891]
7,CO,CO2,[7.35879797 7.35879797]
8,CH3CO3,CO2,[17.67889342 16.51020655]
9,HCOCO3,CO2,[18.01028939 16.84160251]
10,HOCH2CO3,CO2,[18.01028939 16.84160251]
11,CH3O2,CH3O2NO2,[8.77002837 8.77002837]
12,RO2,CH3CO2H,[17.31091665 16.14222975]
13,CH3CO3,CH3CO2H,[17.31091665 16.14222975]
14,RO2,CH3OH,[16.51038661 15.34169971]
15,CH3O2,CH3OH,[16.51038661 15.34169971]
16,RO2,ETHGLY,[16.71436822 15.54568132]
17,HOCH2CH2O2,ETHGLY,[16.71436822 15.54568132]
18,HOCH2CH2O2,ETHOHNO3,[6.6549848 6.6549848]
19,RO2,HCOCO2H,[17.64231262 16.47362573]
20,HCOCO3,HCOCO2H,[17.64231262 16.47362573]
21,RO2,HOCH2CO2H,[17.64231262 16.47362573]
22,HOCH2CO3,HOCH2CO2H,[17.64231262 16.47362573]
23,CH3CO3,CH3CO3H,[8.75700395 8.75700395]
24,CH3OOH,CH3O,[14.73937984 -inf]
25,CH3NO3,CH3O,[14.04924767 -inf]
26,RO2,CH3O,[16.57735371 15.40866681]
27,CH3O2,CH3O,[16.57735371 15.40866681]
28,RO2,C2H5OH,[15.94272888 14.77404199]
29,C2H5O2,C2H5OH,[15.94272888 14.77404199]
30,HCOCO3,HCOCO3H,[8.75700395 8.75700395]
31,CH3O2,CH3OOH,[8.67573854 8.67573854]
32,CH3O2,CH3NO3,[5.88637891 5.88637891]
33,HYETHO2H,HOCH2CH2O,[14.73937984 -inf]
34,RO2,HOCH2CH2O,[17.19148948 16.02280258]
35,HOCH2CH2O2,HOCH2CH2O,[17.19148948 16.02280258]
36,HOCH2CO3,HOCH2CO3H,[8.75700395 8.75700395]
37,HCOCH2OOH,HCOCH2O,[14.73937984 -inf]
38,RO2,HCOCH2O,[17.24437262 16.07568572]
39,HCOCH2O2,HCOCH2O,[17.24437262 16.07568572]
40,GLYOX,HCOCO,[8.98698745 8.98698745]
41,C2H5OH,C2H5O,[7.20523855 7.20523855]
42,C2H5OOH,C2H5O,[14.73937984 -inf]
43,C2H5NO3,C2H5O,[14.24503663 -inf]
44,RO2,C2H5O,[16.41985015 15.25116325]
45,C2H5O2,C2H5O,[16.41985015 15.25116325]
46,C2H5O2,C2H5OOH,[8.90137516 8.90137516]
47,C2H5O2,C2H5NO3,[6.914581 6.914581]
48,HOCH2CH2O2,HYETHO2H,[9.07926467 9.07926467]
49,CH3CO3,PAN,[8.95289352 8.95289352]
50,HOCH2CO3,PHAN,[8.95289352 8.95289352]
51,HCOCH2O2,HCOCH2OOH,[8.94617719 8.94617719]
52,C2H6,C2H5O2,[7.38148506 7.38148506]
53,C2H5OOH,C2H5O2,[8.55565277 8.55565277]
54,HCOCH2OOH,GLYOX,[9.46389299 9.46389299]
55,RO2,GLYOX,[16.76725135 15.59856445]
56,HCOCH2O2,GLYOX,[16.76725135 15.59856445]
57,HOCH2CHO,GLYOX,[8.30103 8.30103]
58,HCOCO2H,CO,[9.08990511 9.08990511]
59,HCOCO3H,CO,[15.2622112 -inf]
60,HCOCH2O,CO,[26. 26.]
61,HCOCO,CO,[27.84197891 27.84197891]
62,PAN,CO,[6.47712125 6.47712125]
63,PHAN,CO,[8.04921802 8.04921802]
64,HCOCH2OOH,CO,[15.10728893 -inf]
65,GLYOX,CO,[15.37527939 -inf]
66,HCHO,CO,[15.69954099 8.92916602]
67,HCOCO3,CO,[18.01028939 16.84160251]
68,CH3CHO,CO,[14.59354748 -inf]
69,HCOCH2OOH,HCOCH2O2,[8.55565277 8.55565277]
70,CH3CHO,HCOCH2O2,[7.87385846 7.87385846]
71,C2H5OH,HOCH2CH2O2,[7.20523855 7.20523855]
72,HYETHO2H,HOCH2CH2O2,[8.55565277 8.55565277]
73,CH3OH,HCHO,[7.95205427 7.95205427]
74,HOCH2CO2H,HCHO,[8.43616265 8.43616265]
75,CH3O,HCHO,[23.99588728 23.99588728]
76,CH3OOH,HCHO,[8.60323503 8.60323503]
77,CH3NO3,HCHO,[6.37058738 6.37058738]
78,HOCH2CO3H,HCHO,[14.73937984 -inf]
79,HCOCH2O,HCHO,[26. 26.]
80,PAN,HCHO,[6.47712125 6.47712125]
81,PHAN,HCHO,[8.04921802 8.04921802]
82,HCOCH2OOH,HCHO,[15.10728893 -inf]
83,GLYOX,HCHO,[15.37527939 -inf]
84,RO2,HCHO,[16.51038661 15.34169971]
85,CH3O2,HCHO,[16.51038661 15.34169971]
86,HOCH2CO3,HCHO,[18.01028939 16.84160251]
87,CH3O2NO2,CH3O2,[20.17564755 20.17564755]
88,CH3CO2H,CH3O2,[7.90308999 7.90308999]
89,CH4,CH3O2,[5.80422651 5.80422651]
90,CH3CO3H,CH3O2,[14.73937984 -inf]
91,CH3OOH,CH3O2,[8.7793263 8.7793263]
92,CH3CO3,CH3O2,[17.67889342 16.51020655]
93,CH3CHO,CH3O2,[14.59354748 -inf]
94,CH3CO3H,CH3CO3,[8.56820172 8.56820172]
95,PAN,CH3CO3,[16.6339822 16.6339822]
96,CH3CHO,CH3CO3,[9.15269533 9.15269533]
97,ETHGLY,HOCH2CHO,[9.161368 9.161368]
98,ETHOHNO3,HOCH2CHO,[7.92427929 7.92427929]
99,HOCH2CH2O,HOCH2CHO,[24.67323873 24.67323873]
100,HYETHO2H,HOCH2CHO,[9.13987909 9.13987909]
101,RO2,HOCH2CHO,[16.76725135 15.59856445]
102,HCOCH2O2,HOCH2CHO,[16.76725135 15.59856445]
103,RO2,HOCH2CHO,[16.71436822 15.54568132]
104,HOCH2CH2O2,HOCH2CHO,[16.71436822 15.54568132]
105,HCOCO3H,HCOCO3,[9.19865709 9.19865709]
106,HCOCO,HCOCO3,[27.11507771 27.11507771]
107,C2H5OH,CH3CHO,[8.46051103 8.46051103]
108,C2H5O,CH3CHO,[24.61907587 24.61907587]
109,C2H5OOH,CH3CHO,[8.90363252 8.90363252]
110,C2H5NO3,CH3CHO,[7.25041601 7.25041601]
111,RO2,CH3CHO,[15.94272888 14.77404199]
112,C2H5O2,CH3CHO,[15.94272888 14.77404199]
113,HOCH2CO3H,HOCH2CO3,[8.79169065 8.79169065]
114,PHAN,HOCH2CO3,[16.6339822 16.6339822]
115,HOCH2CHO,HOCH2CO3,[8.90323792 8.90323792]
